season,Team,team_id,conference,divisions,round,champion_share,champion,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,make_playoffs,seed,1_seed,2_seed,3_seed,4_seed,5_seed,6_seed,playoff_games,playoff_wins,team_offense_PF,team_offense_Tot Yds & TO_Yds,team_offense_Tot Yds & TO_Ply,team_offense_Tot Yds & TO_Y/P,team_offense_Tot Yds & TO_TO,team_offense_Tot Yds & TO_FL,team_offense_Tot Yds & TO_1stD,team_offense_Tot Yds & TO_Cmp,team_offense_Tot Yds & TO_Att,team_offense_Passing_Yds,team_offense_Passing_TD,team_offense_Passing_Int,team_offense_Passing_NY/A,team_offense_Passing_1stD,team_offense_Passing_Att,team_offense_Rushing_Yds,team_offense_Rushing_TD,team_offense_Rushing_Y/A,team_offense_Rushing_1stD,team_offense_Penalties_Pen,team_offense_Penalties_Yds,team_offense_Penalties_1stPy,team_offense_Sc%,team_offense_TO%,team_offense_EXP,team_defense_PA,team_defense_Tot Yds & TO_Yds,team_defense_Tot Yds & TO_Ply,team_defense_Tot Yds & TO_Y/P,team_defense_Tot Yds & TO_TO,team_defense_Tot Yds & TO_FL,team_defense_Tot Yds & TO_1stD,team_defense_Tot Yds & TO_Cmp,team_defense_Tot Yds & TO_Att,team_defense_Passing_Yds,team_defense_Passing_TD,team_defense_Passing_Int,team_defense_Passing_NY/A,team_defense_Passing_1stD,team_defense_Passing_Att,team_defense_Rushing_Yds,team_defense_Rushing_TD,team_defense_Rushing_Y/A,team_defense_Rushing_1stD,team_defense_Penalties_Pen,team_defense_Penalties_Yds,team_defense_Penalties_1stPy,team_defense_Sc%,team_defense_TO%,team_defense_EXP,passing_offense_G,passing_offense_Cmp,passing_offense_Att,passing_offense_Cmp%,passing_offense_Yds,passing_offense_TD,passing_offense_TD%,passing_offense_Int,passing_offense_Int%,passing_offense_Lng,passing_offense_Y/A,passing_offense_AY/A,passing_offense_Y/C,passing_offense_Y/G,passing_offense_Rate,passing_offense_Sk,passing_offense_Sk%,passing_offense_NY/A,passing_offense_ANY/A,passing_offense_4QC,passing_offense_GWD,passing_offense_EXP,pso,over500_rec,over600_rec,rec_7pt_or_less,sum_games_7pts_or_less,over500_PD,sum_mvp_shares,sum_dpoy_shares,sum_opoy_shares,sum_all_pro,sum_cpoy_shares,sum_champion_shares,sum_champions,sum_playoff_games,sum_mvp_shares_L4S,sum_dpoy_shares_L4S,sum_player_L1S_cs,sum_player_L3S_cs,sum_player_L5S_cs,sum_player_L8S_cs,conference_record,divisions_record,sum_coach_playoff_games,sum_kicker_playoff_games,40_50+_perc_x_makes,Scoring_FG%,Scoring_Lng,Scoring_XP%,break_even_over500_PD,sum_QB_playoff_games,QB_Age,sum_QB_mvp_shares,sum_franchise_L1S_cs,sum_franchise_L3S_cs,sum_franchise_L5S_cs,sum_franchise_L8S_cs,QB_2_or_more_GWD,500_rec_7pt_or_less,625_rec,SRS_greater_than_1.5_pts,team_rating_custom
2024,Baltimore Ravens,4,AFC,AFC_North,cf. final,0.5,0,1.0,32.0,1.0,4.0,32.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1,1,0,0,0,0,0,3,2,4.0,6.0,16.0,3.0,20.0,7.0,6.0,28.0,30.0,21.0,12.0,32.0,5.0,21.0,1.0,1.0,4.0,3.0,4.0,10.0,2.0,6.0,4.0,20.0,6.0,32.0,27.0,5.0,30.0,1.0,2.0,27.0,11.0,2.0,27.0,30.0,3.0,32.0,26.0,27.0,19.0,32.0,7.0,27.0,5.0,10.0,6.0,30.0,4.0,1.0,1.0,28.0,30.0,10.0,21.0,12.0,3.0,32.0,30.0,4.0,3.0,2.0,5.0,21.0,3.0,15.0,9.0,5.0,3.0,24.0,31.0,9.0,8.0,1.0,1.0,21.0,22.0,1.0,3.0,19.0,7.0,4.0,17.0,23.0,9.0,9.0,3.0,15.0,31.0,24.0,26.0,24.0,1.0,1.0,5.0,2.0,17.0,15.0,31.0,12.0,1.0,9.0,14.0,2.0,9.0,9.0,12.0,20.0,29.0,0,1.0,1,3.0
2024,Detroit Lions,22,NFC,NFC_North,cf. final,0.5,0,2.0,29.0,2.0,5.0,10.0,8.0,8.0,12.0,6.0,5.0,25.0,1.0,3,0,0,1,0,0,0,3,2,5.0,3.0,2.0,3.0,14.0,10.0,5.0,7.0,9.0,2.0,4.0,16.0,3.0,2.0,7.0,5.0,1.0,5.0,7.0,16.0,16.0,29.0,8.0,14.0,4.0,10.0,14.0,27.0,6.0,18.0,27.0,11.0,16.0,11.0,6.0,6.0,11.0,3.0,4.0,30.0,31.0,9.0,30.0,30.0,27.0,18.0,2.0,11.0,14.0,24.0,1.0,7.0,9.0,5.0,2.0,4.0,7.0,16.0,21.0,18.0,5.0,6.0,8.0,2.0,5.0,28.0,29.0,3.0,5.0,7.0,9.0,5.0,9.0,10.0,12.0,6.0,15.0,10.0,19.0,19.0,18.0,27.0,12.0,29.0,27.0,31.0,17.0,15.0,18.0,30.0,30.0,30.0,17.0,5.0,22.0,20.0,32.0,1.0,32.0,30.0,8.0,5.0,8.0,13.0,9.0,16.0,22.0,27.0,1.0,1,1.0,1,6.0
2024,Dallas Cowboys,20,NFC,NFC_East,round 1,0.0,0,2.0,29.0,2.0,1.0,28.0,2.0,2.0,31.0,3.0,4.0,5.0,1.0,2,0,1,0,0,0,0,1,0,1.0,5.0,3.0,6.0,29.0,25.0,1.0,1.0,8.0,3.0,1.0,24.0,6.0,1.0,14.0,14.0,15.0,16.0,12.0,2.0,1.0,1.0,1.0,26.0,2.0,28.0,28.0,31.0,24.0,12.0,17.0,23.0,31.0,30.0,28.0,18.0,8.0,25.0,29.0,17.0,17.0,17.0,15.0,16.0,7.0,4.0,3.0,24.0,8.0,6.0,1.0,1.0,8.0,1.0,3.0,1.0,2.0,24.0,29.0,1.0,5.0,4.0,16.0,3.0,2.0,18.0,25.0,6.0,4.0,7.0,9.0,2.0,6.0,10.0,12.0,8.0,30.0,8.0,12.0,4.0,18.0,20.0,7.0,15.0,27.0,11.0,11.0,3.0,7.0,13.0,12.0,12.0,17.0,21.0,3.0,23.0,4.0,4.0,4.0,22.0,8.0,5.0,7.0,7.0,5.0,9.0,12.0,15.0,1.0,1,1.0,1,4.0
2024,San Francisco 49ers,19,NFC,NFC_West,super bowl,0.75,0,2.0,29.0,2.0,3.0,30.0,3.0,2.0,12.0,2.0,2.0,2.0,1.0,1,1,0,0,0,0,0,4,3,3.0,2.0,27.0,1.0,22.0,25.0,2.0,27.0,32.0,4.0,2.0,16.0,1.0,9.0,8.0,3.0,1.0,4.0,3.0,11.0,6.0,18.0,2.0,18.0,1.0,30.0,25.0,26.0,24.0,5.0,28.0,20.0,3.0,3.0,19.0,24.0,1.0,28.0,16.0,32.0,30.0,26.0,19.0,26.0,22.0,24.0,10.0,19.0,1.0,8.0,1.0,27.0,32.0,3.0,4.0,2.0,1.0,16.0,13.0,11.0,1.0,1.0,1.0,4.0,1.0,26.0,20.0,1.0,1.0,31.0,31.0,1.0,4.0,2.0,7.0,32.0,32.0,2.0,11.0,3.0,8.0,10.0,6.0,2.0,17.0,3.0,8.0,2.0,4.0,4.0,2.0,2.0,17.0,9.0,9.0,23.0,27.0,20.0,7.0,10.0,1.0,14.0,24.0,13.0,3.0,5.0,3.0,6.0,29.0,0,1.0,1,2.0
2024,Miami Dolphins,6,AFC,AFC_East,round 1,0.0,0,5.0,24.0,5.0,2.0,11.0,5.0,5.0,28.0,5.0,1.0,28.0,1.0,6,0,0,0,0,0,1,1,0,2.0,1.0,21.0,2.0,11.0,14.0,6.0,10.0,20.0,1.0,4.0,10.0,2.0,3.0,15.0,6.0,1.0,1.0,12.0,16.0,18.0,26.0,3.0,11.0,5.0,11.0,23.0,22.0,22.0,8.0,5.0,18.0,14.0,18.0,18.0,7.0,14.0,20.0,20.0,21.0,26.0,9.0,25.0,15.0,19.0,28.0,23.0,25.0,12.0,12.0,1.0,10.0,20.0,2.0,1.0,4.0,6.0,10.0,10.0,9.0,2.0,3.0,3.0,1.0,4.0,28.0,28.0,2.0,2.0,7.0,17.0,4.0,10.0,28.0,23.0,11.0,22.0,27.0,15.0,11.0,12.0,6.0,22.0,26.0,17.0,22.0,11.0,8.0,23.0,21.0,21.0,25.0,1.0,17.0,19.0,21.0,19.0,18.0,7.0,11.0,8.0,19.0,16.0,9.0,9.0,16.0,22.0,27.0,1.0,1,1.0,1,8.0
2024,Kansas City Chiefs,1,AFC,AFC_West,champion,1.0,1,5.0,24.0,5.0,15.0,31.0,6.0,6.0,23.0,7.0,17.0,3.0,1.0,3,0,0,1,0,0,0,4,4,15.0,9.0,15.0,9.0,7.0,10.0,9.0,3.0,2.0,6.0,8.0,7.0,13.0,5.0,25.0,19.0,26.0,8.0,18.0,18.0,14.0,20.0,10.0,7.0,11.0,31.0,31.0,25.0,28.0,27.0,17.0,29.0,26.0,23.0,29.0,26.0,27.0,30.0,27.0,23.0,15.0,26.0,7.0,18.0,31.0,30.0,26.0,31.0,25.0,4.0,1.0,3.0,2.0,11.0,6.0,8.0,14.0,7.0,10.0,22.0,19.0,20.0,24.0,6.0,17.0,31.0,31.0,13.0,14.0,7.0,9.0,16.0,1.0,16.0,17.0,14.0,15.0,5.0,2.0,8.0,1.0,10.0,17.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,25.0,2.0,1.0,7.0,5.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0
2024,Buffalo Bills,2,AFC,AFC_East,cf. semi,0.25,0,5.0,24.0,5.0,6.0,29.0,4.0,4.0,28.0,4.0,6.0,7.0,1.0,2,0,1,0,0,0,0,2,1,6.0,4.0,5.0,5.0,7.0,14.0,3.0,11.0,16.0,8.0,7.0,5.0,3.0,12.0,5.0,7.0,5.0,8.0,1.0,7.0,8.0,26.0,6.0,5.0,3.0,29.0,24.0,30.0,22.0,3.0,5.0,22.0,22.0,25.0,26.0,30.0,3.0,27.0,23.0,29.0,18.0,17.0,5.0,27.0,14.0,26.0,8.0,25.0,2.0,9.0,1.0,11.0,16.0,8.0,8.0,7.0,7.0,5.0,6.0,3.0,7.0,13.0,11.0,8.0,13.0,32.0,32.0,3.0,8.0,7.0,3.0,6.0,3.0,4.0,1.0,14.0,1.0,3.0,5.0,6.0,15.0,4.0,17.0,4.0,7.0,2.0,5.0,12.0,6.0,3.0,4.0,4.0,1.0,17.0,11.0,10.0,25.0,23.0,22.0,13.0,1.0,4.0,11.0,4.0,5.0,5.0,7.0,9.0,1.0,1,1.0,1,5.0
2024,Philadelphia Eagles,17,NFC,NFC_East,round 1,0.0,0,5.0,24.0,5.0,7.0,3.0,15.0,15.0,20.0,17.0,7.0,29.0,1.0,5,0,0,0,0,1,0,1,0,7.0,8.0,7.0,12.0,7.0,7.0,4.0,15.0,21.0,16.0,16.0,9.0,10.0,15.0,6.0,8.0,5.0,8.0,2.0,20.0,17.0,12.0,5.0,3.0,9.0,3.0,7.0,6.0,6.0,23.0,17.0,3.0,2.0,1.0,2.0,2.0,25.0,12.0,1.0,28.0,23.0,23.0,12.0,11.0,4.0,15.0,12.0,4.0,24.0,29.0,1.0,15.0,21.0,13.0,16.0,16.0,16.0,9.0,9.0,24.0,10.0,16.0,15.0,16.0,19.0,22.0,20.0,10.0,14.0,5.0,3.0,12.0,2.0,2.0,3.0,3.0,6.0,6.0,4.0,9.0,9.0,3.0,11.0,5.0,5.0,5.0,4.0,6.0,2.0,5.0,6.0,5.0,17.0,21.0,16.0,2.0,5.0,7.0,2.0,14.0,1.0,10.0,16.0,3.0,2.0,7.0,7.0,3.0,1.0,1,1.0,0,9.0
2024,Cleveland Browns,11,AFC,AFC_North,round 1,0.0,0,5.0,24.0,5.0,10.0,19.0,9.0,9.0,5.0,8.0,8.0,11.0,1.0,5,0,0,0,0,1,0,1,0,10.0,16.0,1.0,28.0,1.0,4.0,18.0,19.0,5.0,19.0,16.0,1.0,24.0,23.0,4.0,12.0,14.0,25.0,8.0,2.0,7.0,12.0,23.0,2.0,28.0,19.0,32.0,32.0,30.0,5.0,13.0,32.0,32.0,27.0,32.0,12.0,3.0,31.0,32.0,26.0,22.0,9.0,12.0,31.0,1.0,5.0,16.0,32.0,16.0,2.0,1.0,19.0,5.0,32.0,19.0,16.0,18.0,1.0,2.0,12.0,28.0,29.0,8.0,19.0,31.0,12.0,15.0,24.0,27.0,2.0,2.0,28.0,13.0,7.0,3.0,2.0,15.0,13.0,19.0,10.0,18.0,17.0,16.0,19.0,7.0,19.0,17.0,7.0,15.0,14.0,19.0,23.0,1.0,1.0,17.0,18.0,2.0,12.0,6.0,27.0,8.0,3.0,1.0,13.0,9.0,9.0,14.0,23.0,1.0,1,1.0,1,7.0
2024,Pittsburgh Steelers,7,AFC,AFC_North,round 1,0.0,0,10.0,21.0,10.0,28.0,27.0,21.0,21.0,2.0,15.0,26.0,4.0,1.0,7,0,0,0,0,0,0,1,0,28.0,25.0,26.0,22.0,29.0,21.0,29.0,30.0,29.0,25.0,30.0,28.0,21.0,29.0,9.0,13.0,11.0,16.0,11.0,27.0,19.0,30.0,27.0,31.0,24.0,27.0,12.0,19.0,10.0,8.0,8.0,23.0,23.0,15.0,16.0,12.0,11.0,12.0,20.0,19.0,14.0,30.0,12.0,29.0,28.0,27.0,16.0,21.0,5.0,10.0,1.0,30.0,29.0,21.0,25.0,30.0,30.0,28.0,23.0,2.0,21.0,22.0,19.0,25.0,21.0,24.0,18.0,21.0,21.0,5.0,3.0,24.0,19.0,5.0,6.0,1.0,4.0,10.0,19.0,2.0,18.0,6.0,13.0,14.0,9.0,13.0,17.0,1.0,31.0,27.0,27.0,11.0,1.0,1.0,6.0,6.0,10.0,8.0,7.0,16.0,8.0,23.0,16.0,13.0,9.0,16.0,22.0,9.0,1.0,1,10.0,0,13.0
