team_id,team_abb,Team,conference,divisions
1,KAN,Kansas City Chiefs,AFC,AFC_West
2,BUF,Buffalo Bills,AFC,AFC_East
3,CIN,Cincinnati Bengals,AFC,AFC_North
4,BAL,Baltimore Ravens,AFC,AFC_North
5,LAC,Los Angeles Chargers,AFC,AFC_West
5,SDG,San Diego Chargers,AFC,AFC_West
6,MIA,Miami Dolphins,AFC,AFC_East
7,PIT,Pittsburgh Steelers,AFC,AFC_North
8,JAX,Jacksonville Jaguars,AFC,AFC_South
9,NWE,New England Patriots,AFC,AFC_East
10,NYJ,New York Jets,AFC,AFC_East
11,CLE,Cleveland Browns,AFC,AFC_North
12,TEN,Tennessee Titans,AFC,AFC_South
12,TEN,Tennessee Oilers,AFC,AFC_South
13,LVR,Las Vegas Raiders,AFC,AFC_West
13,OAK,Oakland Raiders,AFC,AFC_West
14,DEN,Denver Broncos,AFC,AFC_West
15,IND,Indianapolis Colts,AFC,AFC_South
16,HOU,Houston Texans,AFC,AFC_South
16,HOU,Houston Oilers,AFC,AFC_South
17,PHI,Philadelphia Eagles,NFC,NFC_East
18,MIN,Minnesota Vikings,NFC,NFC_North
19,SFO,San Francisco 49ers,NFC,NFC_West
20,DAL,Dallas Cowboys,NFC,NFC_East
21,NYG,New York Giants,NFC,NFC_East
22,DET,Detroit Lions,NFC,NFC_North
23,SEA,Seattle Seahawks,NFC,NFC_West
24,WAS,Washington Commanders,NFC,NFC_East
24,WAS,Washington Redskins,NFC ,NFC_East
24,WAS,Washington Football Team,NFC,NFC_East
25,GNB,Green Bay Packers,NFC,NFC_North
26,TAM,Tampa Bay Buccaneers,NFC,NFC_South
27,CAR,Carolina Panthers,NFC,NFC_South
28,NOR,New Orleans Saints,NFC,NFC_South
29,ATL,Atlanta Falcons,NFC,NFC_South
30,LAR,Los Angeles Rams,NFC,NFC_West
30,STL,St. Louis Rams,NFC,NFC_West
31,ARI,Arizona Cardinals,NFC,NFC_West
31,UNK,Arizona  ,NFC,NFC_West
32,CHI,Chicago Bears,NFC,NFC_North
500,2TM,2TM,UNK,na
600,3TM,3TM,UNK,na
700,4TM,4TM,UNK,na
999,FILLER,FILLER,UNK,na
13,LOR,Los Angeles Raiders,NFC,NFC_West
13,RAI,Los Angeles Raiders,NFC,NFC_West
30,RAM,Los Angeles Rams,NFC,NFC_West
31,PHO,Phoenix Cardinals,NFC,NFC_West
500,,2TM,,
