Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Jonathan Gannon,ARI,8,4,4,0,25,8,17,0,25,8,17,0,,,,,,,,,,,2024
Raheem Morris,ATL,8,5,3,0,19,9,10,0,67,26,41,0,,,,,,,0,0,0,,2024
John Harbaugh,BAL,8,5,3,0,267,165,102,0,267,165,102,0,,,,22,12,10,22,12,10,,2024
Sean McDermott,BUF,8,6,2,0,122,79,43,0,122,79,43,0,,,,11,5,6,11,5,6,,2024
Dave Canales,CAR,8,1,7,0,8,1,7,0,8,1,7,0,,,,,,,,,,,2024
Matt Eberflus,CHI,7,4,3,0,41,14,27,0,41,14,27,0,,,,,,,,,,,2024
Zac Taylor,CIN,8,3,5,0,90,40,49,1,90,40,49,1,,,,7,5,2,7,5,2,,2024
Kevin Stefanski,CLE,8,2,6,0,75,39,36,0,75,39,36,0,,,,3,1,2,3,1,2,,2024
Mike McCarthy,DAL,7,3,4,0,74,45,29,0,278,170,106,2,,,,4,1,3,22,11,11,,2024
Sean Payton,DEN,8,5,3,0,25,13,12,0,266,165,101,0,,,,,,,17,9,8,,2024
Dan Campbell,DET,7,6,1,0,58,30,27,1,70,35,34,1,,,,3,2,1,3,2,1,,2024
Matt LaFleur,GNB,8,6,2,0,91,62,29,0,91,62,29,0,,,,7,3,4,7,3,4,,2024
DeMeco Ryans,HOU,8,6,2,0,25,16,9,0,25,16,9,0,,,,2,1,1,2,1,1,,2024
Shane Steichen,IND,8,4,4,0,25,13,12,0,25,13,12,0,,,,,,,,,,,2024
Doug Pederson,JAX,8,2,6,0,42,20,22,0,122,62,59,1,,,,2,1,1,8,5,3,,2024
Andy Reid,KAN,7,7,0,0,186,135,51,0,410,265,144,1,,,,23,16,7,42,26,16,,2024
Jim Harbaugh,LAC,7,4,3,0,7,4,3,0,71,48,22,1,,,,,,,8,5,3,,2024
Sean McVay,LAR,7,3,4,0,122,73,49,0,122,73,49,0,,,,11,7,4,11,7,4,,2024
Antonio Pierce,LVR,8,2,6,0,17,7,10,0,17,7,10,0,,,,,,,,,,,2024
Mike McDaniel,MIA,7,2,5,0,41,22,19,0,41,22,19,0,,,,2,0,2,2,0,2,,2024
Kevin O'Connell,MIN,7,5,2,0,41,25,16,0,41,25,16,0,,,,1,0,1,1,0,1,,2024
Dennis Allen,NOR,8,2,6,0,42,18,24,0,78,26,52,0,,,,,,,0,0,0,,2024
Jerod Mayo,NWE,8,2,6,0,8,2,6,0,8,2,6,0,,,,,,,,,,,2024
Brian Daboll,NYG,8,2,6,0,42,17,24,1,42,17,24,1,,,,2,1,1,2,1,1,,2024
Jeff Ulbrich,NYJ,3,0,3,0,3,0,3,0,3,0,3,0,,,,,,,,,,interim as of week 5,2024
Robert Saleh,NYJ,5,2,3,0,56,20,36,0,56,20,36,0,,,,,,,,,,fired after week 5,2024
Nick Sirianni,PHI,7,5,2,0,58,39,19,0,58,39,19,0,,,,5,2,3,5,2,3,,2024
Mike Tomlin,PIT,8,6,2,0,283,179,102,2,283,179,102,2,,,,18,8,10,18,8,10,,2024
Mike Macdonald,SEA,8,4,4,0,8,4,4,0,8,4,4,0,,,,,,,,,,,2024
Kyle Shanahan,SFO,8,4,4,0,123,68,55,0,123,68,55,0,,,,12,8,4,12,8,4,,2024
Todd Bowles,TAM,8,4,4,0,42,21,21,0,109,47,62,0,,,,3,1,2,3,1,2,,2024
Brian Callahan,TEN,7,1,6,0,7,1,6,0,7,1,6,0,,,,,,,,,,,2024
Dan Quinn,WAS,8,6,2,0,8,6,2,0,93,49,44,0,,,,,,,5,3,2,,2024
Jonathan Gannon,ARI,16,4,12,0,16,4,12,0,16,4,12,0,,,,,,,,,,,2023
