Rk,Player,Tm,Age,Pos,G,GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,season
1,Brandon Aubrey,DAL,29,K,7,0,,,1,1,4,3,6,6,9,8,20,18,65,0.9,12,12,1,38,2272,18,0.474,59.8,2024
2,Joey Slye,NWE,28,K,8,0,,,3,3,5,4,3,2,2,2,13,11,63,0.846,11,11,1,30,1936,24,0.8,64.5,2024
3,Ka'imi Fairbairn,HOU,30,K,8,0,,,1,1,6,6,4,3,10,9,21,19,59,0.905,17,17,1,44,2736,21,0.477,62.2,2024
4,Cameron Dicker,LAC,24,K,7,0,,,6,6,1,1,6,6,5,4,18,17,59,0.944,11,9,0.818,36,2299,26,0.722,63.9,2024
5,Jason Myers,SEA,33,K,8,0,,,2,2,4,4,4,3,5,3,15,12,59,0.8,20,20,1,42,2709,24,0.571,64.5,2024
6,Younghoe Koo,ATL,30,K,8,0,,,3,3,5,5,5,3,7,5,20,16,58,0.8,18,18,1,15,969,5,0.333,64.6,2024
7,Will Reichard,MIN,23,K,7,0,,,3,3,4,4,3,3,4,4,14,14,58,1,20,20,1,41,2656,36,0.878,64.8,2024
8,Chris Boswell,PIT,33,K,8,0,,,7,7,5,5,5,5,7,6,24,23,57,0.958,16,16,1,45,2919,31,0.689,64.9,2024
9,Blake Grupe,NOR,26,K,8,0,,,2,2,4,4,6,5,2,2,14,13,57,0.929,20,18,0.9,41,2619,9,0.22,63.9,2024
10,Chad Ryland,ARI,25,K,4,0,,,,,5,5,3,2,1,1,9,8,57,0.889,6,6,1,18,1176,14,0.778,65.3,2024
11,Matt Prater,ARI,40,K,4,0,,,1,1,1,1,3,3,1,1,6,6,57,1,10,10,1,20,1248,17,0.85,62.4,2024
12,Justin Tucker,BAL,35,K,8,0,,,3,3,4,4,5,4,5,2,17,13,56,0.765,29,29,1,50,3237,39,0.78,64.7,2024
13,Dustin Hopkins,CLE,34,K,8,0,,,1,1,4,4,5,4,6,4,16,13,56,0.813,11,9,0.818,35,2188,16,0.457,62.5,2024
14,Jason Sanders,MIA,29,K,7,0,,,2,2,4,4,4,2,6,4,16,12,56,0.75,7,7,1,28,1761,18,0.643,62.9,2024
15,Evan McPherson,CIN,25,K,8,0,,,3,3,3,3,3,2,6,3,15,11,56,0.733,21,20,0.952,43,2717,33,0.767,63.2,2024
16,Chase McLaughlin,TAM,28,K,8,0,,,4,4,3,3,,,7,6,14,13,56,0.929,25,24,0.96,2,26,,,13,2024
17,Austin Seibert,WAS,28,K,7,0,,,9,9,6,6,7,7,3,1,25,23,55,0.92,19,19,1,48,3032,13,0.271,63.2,2024
18,Anders Carlson,SFO,26,K,2,0,,,1,1,,,2,2,2,2,5,5,55,1,4,3,0.75,10,589,2,0.2,58.9,2024
19,Daniel Carlson,LVR,29,K,8,0,,,3,3,6,6,3,2,5,4,17,15,54,0.882,11,11,1,36,2107,19,0.528,58.5,2024
20,Cairo Santos,CHI,33,K,7,0,,,1,1,1,1,3,2,5,4,10,8,54,0.8,16,15,0.938,35,2268,17,0.486,64.8,2024
21,Harrison Butker,KAN,29,K,7,0,1,1,4,4,5,5,2,2,4,2,16,14,53,0.875,18,17,0.944,39,2536,31,0.795,65,2024
22,Cam Little,JAX,21,K,8,0,,,4,4,3,3,5,4,2,2,14,13,53,0.929,17,17,1,39,2473,34,0.872,63.4,2024
23,Jake Moody,SFO,25,K,5,0,,,6,6,2,2,3,3,3,2,14,13,53,0.929,12,12,1,28,1821,23,0.821,65,2024
24,Nick Folk,TEN,40,K,7,0,,,2,2,,,4,4,3,3,9,9,53,1,13,13,1,27,1736,20,0.741,64.3,2024
25,Wil Lutz,DEN,30,K,8,0,,,1,1,7,7,7,7,3,2,18,17,52,0.944,16,16,1,41,2564,25,0.61,62.5,2024
26,Greg Joseph,NYG,30,K,6,0,,,3,3,5,5,7,4,1,1,16,13,52,0.813,6,6,1,27,1758,23,0.852,65.1,2024
27,Matt Gay,IND,30,K,7,0,,,3,3,7,7,1,1,3,1,14,12,52,0.857,16,16,1,34,2156,29,0.853,63.4,2024
28,Joshua Karty,LAR,22,K,7,0,,,3,3,4,3,3,2,1,1,11,9,52,0.818,15,13,0.867,,,,,,2024
29,Jake Bates,DET,25,K,7,0,,,2,2,5,5,3,3,1,1,11,11,51,1,28,27,0.964,47,3096,37,0.787,65.9,2024
30,Tyler Bass,BUF,27,K,8,0,,,4,4,5,5,5,2,1,1,15,12,50,0.8,28,26,0.929,48,3056,38,0.792,63.7,2024
31,Graham Gano,NYG,37,K,2,0,,,1,1,,,,,1,1,2,2,50,1,,,,4,258,3,0.75,64.5,2024
32,Jake Elliott,PHI,29,K,7,0,,,3,3,2,2,4,4,2,,11,9,49,0.818,18,18,1,1,65,1,1,65,2024
33,Eddy Pineiro,CAR,29,K,8,0,,,3,3,2,2,5,4,,,10,9,48,0.9,13,13,1,29,1794,13,0.448,61.9,2024
34,Brayden Narveson,GNB,25,K,6,0,,,4,4,4,3,9,5,,,17,12,47,0.706,16,16,1,33,2118,17,0.515,64.2,2024
35,Brandon McManus,GNB,33,K,2,0,,,1,1,2,2,1,1,,,4,4,45,1,6,6,1,10,653,7,0.7,65.3,2024
36,Matthew Wright,SFO,28,K,1,0,,,1,1,1,1,1,1,,,3,3,41,1,3,3,1,8,503,1,0.125,62.9,2024
37,Greg Zuerlein,NYJ,37,K,8,0,,,4,4,6,4,4,1,1,,15,9,40,0.6,14,13,0.929,33,2119,28,0.848,64.2,2024
38,Mitch Wishnowsky,SFO,32,P,8,0,,,1,1,,,,,,,1,1,26,1,,,,3,77,,,25.7,2024
39,Cade York,WAS,23,K,1,0,,,,,,,1,,1,,2,,,0,2,2,1,4,198,1,0.25,49.5,2024
40,Spencer Shrader,IND,25,K,1,0,,,,,,,,,,,,,,,3,3,1,5,325,5,1,65,2024
41,Jamie Gillan,NYG,27,P,5,0,,,,,,,,,,,,,,,1,,0,3,155,2,0.667,51.7,2024
42,Ethan Evans,LAR,23,P,7,0,,,,,,,,,,,,,,,,,,34,2211,33,0.971,65,2024
43,Braden Mann,PHI,27,P,7,0,,,,,,,,,,,,,,,,,,34,2207,29,0.853,64.9,2024
44,Bradley Pinion,ATL,30,P,8,0,,,,,,,,,,,,,,,,,,29,1876,20,0.69,64.7,2024
45,Jake Camarda,TAM,25,P,4,0,,,,,,,,,,,,,,,,,,24,1549,18,0.75,64.5,2024
46,Trenton Gill,TAM,25,P,4,0,,,,,,,,,,,,,,,,,,24,1554,19,0.792,64.8,2024
47,Jake Bailey,MIA,27,P,7,0,,,,,,,,,,,,,,,,,,1,,,,,2024
48,Logan Cooke,JAX,29,P,8,0,,,,,,,,,,,,,,,,,,1,22,,,22,2024
49,Matthew Hayball,NOR,27,P,8,0,,,,,,,,,,,,,,,,,,1,3,,,3,2024
50,Johnny Hekker,CAR,34,P,8,0,,,,,,,,,,,,,,,,,,1,12,,,12,2024
51,Daniel Whelan,GNB,25,P,8,0,,,,,,,,,,,,,,,,,,1,12,,,12,2024
52,Ryan Wright,MIN,24,P,7,0,,,,,,,,,,,,,,,,,,1,13,,,13,2024
1,Jason Myers,SEA,32,K,17,0,,,8,8,12,11,14,12,8,4,42,35,55,0.833,33,33,1,86,5430,55,0.64,63.1,2023
2,Matt Gay,IND,29,K,17,0,,,9,9,10,9,9,7,13,8,41,33,57,0.805,36,35,0.972,92,5898,72,0.783,64.1,2023
